tweet_id_str
ID_1068523060418928640
ID_1068523047907291138
ID_1068523046711963648
ID_1068522852016476166
ID_1068522837156057090
ID_1068522769246150659
ID_1068522704825798658
ID_1068522656968785920
ID_1068522520872022016
ID_1068522519890558976
ID_1068522410826055687
ID_1068522358661509120
ID_1068522312205385728
ID_1068522250171600896
ID_1068522187441631232
ID_1068522087453605888
ID_1068522074564550656
ID_1068522037495250948
ID_1068521999213879298
ID_1068521958143184896
