,_id,id_str,full_tweet_text,screen_name,created_ts
30,5f834eceaabcfe3ee19e5951,ID_1312808920180645888,"@joe_warmington We should be saying ""extremist group"" and ""far-left"" when talking about Antifa. I guess we only do that when talking about groups or ideas opposed to the progressive left. Followers of Qanon and the Proud Boys aren't burning property, looting, and attacking people.",SouthEndSimpson,2020-10-04 17:36:52
31,5f834eceaabcfe3ee19e5952,ID_1312478334501089283,@WBrettWilson Brett.... shouldn’t you be at QAnon meeting somewhere with your boy @TheRealKeean,zumalife,2020-10-03 19:43:14
32,5f834eceaabcfe3ee19e5953,ID_1312359364091674624,"@REZ_777 @Acyn Qanon thinks it’s a code &amp; he used capital I instead of lowercase l ‽ yep, there his people",nitagale,2020-10-03 11:50:29
33,5f834eceaabcfe3ee19e5954,ID_1312891368985985029,"@IEFKUH Clinton foudation, children, ADRENOCHROME....",leesoper6,2020-10-04 23:04:29
34,5f834eceaabcfe3ee19e5955,ID_1311773904478842886,"I welcome all of my new followers! The numbers after your profile names must be your IQs, because you all seem super smart!!

#MAGA2020LandslideVictory #WWG1WWGA",future_port,2020-10-01 21:04:05
35,5f834eceaabcfe3ee19e5956,ID_1312080710602092544,"@thedailybeast The virus came from China, but it is people who infect people. People who don’t listen to science, listening to YouTube personalities, grifters of Trump, QAnon, those people who contribute to spreading this virus around. Being selfish, not getting tested, not caring!",PJacob_82,2020-10-02 17:23:13
36,5f834eceaabcfe3ee19e5957,ID_1312073346163576833,@KarenBeishuizen @DebraMessing For fucks sakes. I hear Qanon is recruiting.,muny21,2020-10-02 16:53:57
37,5f834ecfaabcfe3ee19e5958,ID_1312311387050389504,"@realDonaldTrump Get Well Mr Prez Sending well wishes to you and the 1st Lady from Aberdeen, Scotland. WWG1WGA",wopwopwallace,2020-10-03 08:39:50
38,5f834ecfaabcfe3ee19e5959,ID_1311687352960643073,"@Liz_Estes They've been hitting me too.  When my reach goes up, I get censored.
@Potus @RealDonaldTrump #WWG1WGA @TheJusticeDept #TheGreatAwakening @SenateGOP @HouseGOP @Oann @LizWheeler @GrahamLedger @TuckerCarlson @IngrahamAngle @JesseBWatters  @TPUSA #MAGA #KAG",ProudQchick,2020-10-01 15:20:09
39,5f834ecfaabcfe3ee19e595a,ID_1312350063960690692,"@shannon32030567 @MaryWarrick18 Apparently the virus sees red before blue!
WWG1WGA 🇬🇧 🇺🇸
#Trump2020",kjhare9,2020-10-03 11:13:32
40,5f834ecfaabcfe3ee19e595b,ID_1313147147676782599,@qanonwhitehat @TeaBoots Oh yeah,VoxAmerican,2020-10-05 16:00:51
41,5f834ecfaabcfe3ee19e595c,ID_1312954871528730626,"@clairecmc Yeah @dbongino  is correct. You're an ungrateful pile of entitled shit.
What's wrong in your life that makes you a cunt?
I'm sorry but really you're really sick.
We are all Americans and Gods children.
We love our POTUS @realDonaldTrump 

Report on #ObamaGate_TREASON 
WWG1WGA",ChrisWann5,2020-10-05 03:16:49
42,5f834ecfaabcfe3ee19e595d,ID_1311944163722747904,"@sonofr Well he's either

Lying,
Scared of debating Biden,
Needs the sympathy,
Doesnt care about the Antivaxx Qanon vote,
Has a need to give that Blonde spiritual advisor $bns to pray for him.
Lying,
Trying to beat that famous phrase ''there a 2 certainties in life, death and taxation.''",routundroulleur,2020-10-02 08:20:38
43,5f834ecfaabcfe3ee19e595e,ID_1312042743795908608,"@nightsongs48 @seanhannity Oh, look. Domestic Terror Threat Annie chimes in

You QNuts are about the farthest thing from patriots as it gets",DannyboyWiggs,2020-10-02 14:52:21
44,5f834ecfaabcfe3ee19e595f,ID_1312133106464251905,"@tnicholsmd @missprisslexy What I mean by 'educated voter' is not someone with a formal education. I'm talking about individuals who vote based on political issues, of which they are 'educated.' And sorry, but I'm past the point of respecting or trying to reason with MAGAs and/or QAnons. It is what it is.",NardyPoontango,2020-10-02 20:51:25
45,5f834ecfaabcfe3ee19e5960,ID_1312547591696113664,@powerpsi2381 @MinnieM22421364 @joemcginnissjr @gabrielsherman QAnon. How do you know? Who told you. I heard aliens are moving arctic ice into the WH to lower @POTUS fever. Did you know Melania is a robot? Given to Trump by Putin? Need to stop now. These messages are monitored. Shhh.,RRoncken,2020-10-04 00:18:26
